,S,week,Volume,Value_Euros,Average_Number_SKUs,Average_Distribution,Volume_Baseline,Value_Baseline,GRP,week_Number,price,average_Price,threshold1,promo,baseline,weekly_lift,total_lift
1,S,11/2/14,93144.6,472996.8,3.6,92,72622.1,413151.5,0,1,5.078091484,5.277732227,5.133616163,0,,,
2,S,11/9/14,100393.2,529176.3,3.6,93,84714.7,481465.3,419.75,2,5.271037281,5.277732227,5.133616163,1,80329.055,20064.145,30572.335
3,S,11/16/14,87245.9,478211.3,3.6,93,80233.7,456525.2,396.31,3,5.481189374,5.277732227,5.133616163,1,80329.055,6916.845,
4,S,11/23/14,83920.4,464366.7,3.6,92,78122.3,446465.9,397.35,4,5.533418573,5.277732227,5.133616163,1,80329.055,3591.345,
5,S,11/30/14,80922.4,446069.6,3.6,92,75452,430256.6,0,5,5.512313031,5.277732227,5.133616163,0,,,
6,S,12/7/14,82227.2,445092.8,3.6,93,74919.4,426751.3,0,6,5.412963107,5.277732227,5.133616163,0,,,
7,S,12/14/14,76354.6,407470.6,3.5,91,68687.9,389548.3,0,7,5.336556016,5.277732227,5.133616163,0,,,
8,S,12/21/14,67742.2,374751.1,3.5,91,65241.7,369412.6,0,8,5.532018446,5.277732227,5.133616163,0,,,
9,S,12/28/14,46740.3,260649.8,3.3,89,45828.3,259471.6,0,9,5.576553852,5.277732227,5.133616163,0,,,
10,S,1/4/15,53714.1,299796.3,3.4,90,52550.4,297450.1,0,10,5.581333393,5.277732227,5.133616163,0,,,
11,S,1/11/15,81395.8,448627.8,3.6,92,76488.3,432221,0,11,5.511682421,5.277732227,5.133616163,0,,,
12,S,1/18/15,87897.4,478676.8,3.7,93,77423.9,437513.6,0,12,5.445858467,5.277732227,5.133616163,0,,,
13,S,1/25/15,84926.1,461453.3,3.7,93,74585.1,422586.7,0,13,5.433586377,5.277732227,5.133616163,0,,,
14,S,2/1/15,81936.1,445994.5,3.6,93,74576.5,421555.5,0,14,5.443199029,5.277732227,5.133616163,0,,,
15,S,2/8/15,81262.2,442741.5,3.7,92,73883.9,418584.6,0,15,5.448308069,5.277732227,5.133616163,0,,,
16,S,2/15/15,78932.2,432498.8,3.6,91,72571.5,411039.9,0,16,5.479370903,5.277732227,5.133616163,0,,,
17,S,2/22/15,82122.5,444252.8,3.6,92,72731.5,412765.5,0,17,5.409635605,5.277732227,5.133616163,0,,,
18,S,3/1/15,90267.7,481667.9,3.6,93,75319.3,427593.2,0,18,5.335993938,5.277732227,5.133616163,1,79511.79,10755.91,199048.34
19,S,3/8/15,94327.7,502564.1,3.7,93,77281.2,439601.6,0,19,5.327852794,5.277732227,5.133616163,1,79511.79,14815.91,
20,S,3/15/15,98305,519301.5,3.7,93,79086.7,450066.6,0,20,5.282554295,5.277732227,5.133616163,1,79511.79,18793.21,
21,S,3/22/15,98622.8,524404.6,3.7,93,82315.5,468914.8,425.99,21,5.317275518,5.277732227,5.133616163,1,79511.79,19111.01,
22,S,3/29/15,90525.5,493972.8,3.7,93,83399.8,473986.5,430.26,22,5.456725453,5.277732227,5.133616163,1,79511.79,11013.71,
23,S,4/5/15,82383.9,452443.7,3.7,92,77764.2,441783,408.96,23,5.491894654,5.277732227,5.133616163,1,79511.79,2872.11,
24,S,4/12/15,91645.7,482286.4,3.6,92,76594.6,435868.4,0,24,5.262509861,5.277732227,5.133616163,1,79511.79,12133.91,
25,S,4/19/15,92597.9,500265.8,3.7,93,83855.9,475991.5,0,25,5.402560965,5.277732227,5.133616163,1,79511.79,13086.11,
26,S,4/26/15,92227.7,493713.9,3.7,92,80058.4,454480.1,0,26,5.353206249,5.277732227,5.133616163,1,79511.79,12715.91,
27,S,5/3/15,92195.2,492216.3,3.7,92,80289.4,453523.8,0,27,5.338849528,5.277732227,5.133616163,1,79511.79,12683.41,
28,S,5/10/15,99628.1,524096.9,3.7,93,82398.4,465610.3,0,28,5.260532922,5.277732227,5.133616163,1,79511.79,20116.31,
29,S,5/17/15,99058.2,521667.6,3.7,93,81357.7,460138.6,0,29,5.266273766,5.277732227,5.133616163,1,79511.79,19546.41,
30,S,5/24/15,98316,529147.6,3.8,93,84177.3,475542.1,0,30,5.382110745,5.277732227,5.133616163,1,79511.79,18804.21,
31,S,5/31/15,92112,502031.2,3.8,93,79926.6,453484.2,0,31,5.450225812,5.277732227,5.133616163,1,79511.79,12600.21,
32,S,6/7/15,88098,475863.5,3.7,94,75726.4,428274.3,0,32,5.401524439,5.277732227,5.133616163,0,,,
