,S,week,Volume,Value_Euros,Average_Number_SKUs,Average_Distribution,Volume_Baseline,Value_Baseline,GRP,week_Number,price,average_Price,threshold1,promo,baseline,weekly_lift,total_lift
33,S,6/14/15,84175.4,456495.2,3.7,94,73339.1,415986.3,37.7,33,5.423142628,5.277732227,5.133616163,1,79135.015,5040.385,-5523.595
34,S,6/21/15,85637.5,458376.1,3.8,93,76753.9,429606.3,38.63,34,5.352516129,5.277732227,5.133616163,1,79135.015,6502.485,
35,S,6/28/15,87731.4,459052.2,3.8,93,75715.4,420401.8,165.01,35,5.232473208,5.277732227,5.133616163,1,79135.015,8596.385,
36,S,7/5/15,82441.8,442029,3.7,93,76579.4,425026.3,136.84,36,5.361709715,5.277732227,5.133616163,1,79135.015,3306.785,
37,S,7/12/15,76298.8,410900.7,3.7,93,69421.2,389090.6,132.5,37,5.385414974,5.277732227,5.133616163,1,79135.015,-2836.215,
38,S,7/19/15,78178.9,414745.3,3.7,93,69236.7,386720.9,135.32,38,5.305079759,5.277732227,5.133616163,1,79135.015,-956.115,
39,S,7/26/15,75297.8,400487.3,3.7,93,67467.4,374548.3,129.85,39,5.318711835,5.277732227,5.133616163,1,79135.015,-3837.215,
40,S,8/2/15,80311.3,424624.7,3.8,93,71377.8,394569.4,144.97,40,5.287234798,5.277732227,5.133616163,1,79135.015,1176.285,
41,S,8/9/15,71878.4,385347.3,3.7,92,66039,367229.3,85.11,41,5.361100136,5.277732227,5.133616163,1,79135.015,-7256.615,
42,S,8/16/15,62637.7,339728.7,3.6,91,58034.8,323641.4,103.7,42,5.423709683,5.277732227,5.133616163,1,79135.015,-16497.315,
43,S,8/23/15,72428.4,387331.3,3.7,92,66611.1,367674,47.51,43,5.347782085,5.277732227,5.133616163,1,79135.015,-6706.615,
44,S,8/30/15,79211.9,417709.3,3.8,92,69417.1,383284.2,60.02,44,5.273314994,5.277732227,5.133616163,1,79135.015,76.885,
45,S,9/6/15,87002.3,459565.9,3.8,92,75864.8,422346.3,0.03,45,5.282227022,5.277732227,5.133616163,1,79135.015,7867.285,
46,S,9/13/15,88018.8,465651.7,3.8,93,79064.6,436288.3,0,46,5.290366376,5.277732227,5.133616163,0,,,
47,S,9/20/15,90231.2,476615.4,3.8,93,82420.8,451323.4,0,47,5.282157391,5.277732227,5.133616163,0,,,
48,S,9/27/15,88350.3,466549.8,3.8,93,80951.5,444173.6,0,48,5.28068156,5.277732227,5.133616163,1,80220.22,8130.08,137693.84
49,S,10/4/15,89420.6,474376.1,3.7,93,80623.6,446770,0,49,5.304997953,5.277732227,5.133616163,1,80220.22,9200.38,
50,S,10/11/15,91171.9,481423.4,3.8,93,79364.1,440613.7,0,50,5.280392314,5.277732227,5.133616163,1,80220.22,10951.68,
51,S,10/18/15,106450.3,536425.9,3.8,94,81709.2,450673.9,0,51,5.039214544,5.277732227,5.133616163,1,80220.22,26230.08,
52,S,10/25/15,99253.8,506237.3,3.8,93,77304.4,430871.7,0,52,5.100432427,5.277732227,5.133616163,1,80220.22,19033.58,
53,S,11/1/15,99415.8,519699.3,3.8,94,78945.9,442364.5,0,53,5.227532243,5.277732227,5.133616163,1,80220.22,19195.58,
54,S,11/8/15,102460.5,527007.1,3.8,94,80079.2,447426.6,0,54,5.143514818,5.277732227,5.133616163,1,80220.22,22240.28,
55,S,11/15/15,102932.4,519940.4,3.8,94,77865.1,436659.9,0,55,5.051280258,5.277732227,5.133616163,1,80220.22,22712.18,
56,S,11/22/15,92634.7,478755.9,3.8,93,76115.3,426823.5,0,56,5.168213423,5.277732227,5.133616163,0,,,
57,S,11/29/15,88888.8,458382.9,3.7,93,76040,422450.4,0,57,5.156812782,5.277732227,5.133616163,0,,,
58,S,12/6/15,79391.9,422933.9,3.7,93,73795.8,409802.8,0,58,5.327166877,5.277732227,5.133616163,0,,,
59,S,12/13/15,76799.3,396167.9,3.6,92,68170.2,375341,0,59,5.158483215,5.277732227,5.133616163,0,,,
60,S,12/20/15,73386.9,386109.8,3.6,92,67899.7,372933.8,0,60,5.261290503,5.277732227,5.133616163,0,,,
61,S,12/27/15,48335.5,259454.1,3.4,89,46663,256229.5,0,61,5.367775238,5.277732227,5.133616163,0,,,
62,S,1/3/16,55415.9,301666.8,3.5,91,55105.9,303821,0,62,5.44368674,5.277732227,5.133616163,0,,,
63,S,1/10/16,76187.9,410942,3.7,92,71276.5,393546.7,0,63,5.393796128,5.277732227,5.133616163,0,,,
64,S,1/17/16,84295.9,458718.6,3.8,93,78426.2,434622.1,0,64,5.441766444,5.277732227,5.133616163,0,,,
65,S,1/24/16,84247.3,449997.5,3.8,93,75482,416737.8,0,65,5.341387795,5.277732227,5.133616163,0,,,
66,S,1/31/16,81102.2,435188.3,3.7,93,74083.1,410428,0,66,5.365924722,5.277732227,5.133616163,0,,,
67,S,2/7/16,91275.8,468727,3.8,93,74355.2,413416.1,0,67,5.135282298,5.277732227,5.133616163,0,,,
68,S,2/14/16,85137.8,446252.1,3.8,93,73804.1,409782.9,0,68,5.241527265,5.277732227,5.133616163,0,,,
69,S,2/21/16,85654.5,454854.4,3.8,94,76053.8,423017.2,0,69,5.310338628,5.277732227,5.133616163,0,,,
70,S,2/28/16,108925.2,526104.1,3.8,94,79321,438922.8,0,70,4.829957622,5.277732227,5.133616163,0,,,
71,S,3/6/16,101745.3,511268.9,3.8,93,80123.6,444734.9,0,71,5.024987886,5.277732227,5.133616163,0,,,
72,S,3/13/16,88290.8,465409.9,3.8,93,78185.7,434722.5,0,72,5.271329516,5.277732227,5.133616163,0,,,
73,S,3/20/16,83429,444406,3.8,93,75446.9,420127.7,0,73,5.326756883,5.277732227,5.133616163,0,,,
74,S,3/27/16,73225.5,390902.9,3.7,92,67599,375973.3,0,74,5.338343883,5.277732227,5.133616163,0,,,
75,S,4/3/16,88646.7,459078.5,3.8,93,74103.1,411142.2,0,75,5.178743258,5.277732227,5.133616163,0,,,
76,S,4/10/16,93042.6,485044.9,3.8,94,79944.2,442581.8,0,76,5.213148601,5.277732227,5.133616163,0,,,
77,S,4/17/16,87182.2,459897.6,3.8,93,79907.9,441350.7,0,77,5.27513185,5.277732227,5.133616163,0,,,
78,S,4/24/16,85681.4,459822.4,3.8,94,78797.3,437336.7,0,78,5.366653673,5.277732227,5.133616163,0,,,
79,S,5/1/16,86726.5,454444.4,3.8,94,75344.8,415813,0,79,5.239971635,5.277732227,5.133616163,0,,,
80,S,5/8/16,99768.4,513791.2,3.9,94,85155,464131,0,80,5.149839027,5.277732227,5.133616163,0,,,
81,S,5/15/16,97484.3,503752.6,3.9,94,86689.9,468204.4,0,81,5.167525437,5.277732227,5.133616163,0,,,
82,S,5/22/16,95073.3,492291.5,3.9,94,86475.4,462677.8,0,82,5.178020538,5.277732227,5.133616163,0,,,
83,S,5/29/16,96815.8,501973.2,3.9,94,87071.4,465402.5,0,83,5.18482727,5.277732227,5.133616163,0,,,
84,S,6/5/16,93286.1,478444,3.9,94,81344.6,435197.5,0,84,5.128781244,5.277732227,5.133616163,0,,,
85,S,6/12/16,87732.1,454283.2,3.9,93,80658,432227.1,0,85,5.178072792,5.277732227,5.133616163,0,,,
86,S,6/19/16,83220.4,430677.6,3.9,93,77327,412425.5,0,86,5.175144556,5.277732227,5.133616163,0,,,
87,S,6/26/16,78186.9,404757.3,3.8,93,72668.4,387264.1,0,87,5.176791764,5.277732227,5.133616163,0,,,
88,S,7/3/16,79768.2,409836.3,3.9,93,72754.6,385698,0,88,5.137840643,5.277732227,5.133616163,0,,,
89,S,7/10/16,77371.4,393779.4,3.8,93,68597.5,364855.1,0,89,5.089469752,5.277732227,5.133616163,0,,,
90,S,7/17/16,73856.4,380684,3.8,94,67259.8,360594.6,0,90,5.154380663,5.277732227,5.133616163,0,,,
91,S,7/24/16,69495.4,362740.2,3.7,93,64826.2,349517.8,0,91,5.219628925,5.277732227,5.133616163,0,,,
92,S,7/31/16,68446.9,353958.7,3.7,93,61193.2,332051.7,0,92,5.171288985,5.277732227,5.133616163,0,,,
93,S,8/7/16,69444.6,361213.3,3.7,93,62060.6,339359.7,0,93,5.201459869,5.277732227,5.133616163,0,,,
94,S,8/14/16,62546.8,332965,3.7,93,58885.2,323179.9,0,94,5.323453798,5.277732227,5.133616163,0,,,
95,S,8/21/16,61174,314410.4,3.6,92,54003.7,291829.6,0,95,5.13960833,5.277732227,5.133616163,0,,,
96,S,8/28/16,81848.5,402283.6,3.7,94,63849.2,341559,0,96,4.914978283,5.277732227,5.133616163,0,,,
97,S,9/4/16,86870.2,433014.9,3.8,94,70499.2,379381.2,0,97,4.984619582,5.277732227,5.133616163,0,,,
98,S,9/11/16,85448,436305.6,3.8,94,73249.2,397038.8,0,98,5.106094935,5.277732227,5.133616163,0,,,
99,S,9/18/16,96847.9,484746.1,3.9,94,77270,418872.5,0,99,5.005230883,5.277732227,5.133616163,1,81728.21,15119.69,51096.63
100,S,9/25/16,83034.6,431475.5,3.8,95,73511.5,400288.2,0,100,5.196333817,5.277732227,5.133616163,1,81728.21,1306.39,
101,S,10/2/16,87977.2,453424,3.8,94,76056.4,413935.1,0,101,5.153880778,5.277732227,5.133616163,1,81728.21,6248.99,
102,S,10/9/16,91689.6,476379,3.8,94,80485,440152.8,427.17,102,5.195561983,5.277732227,5.133616163,1,81728.21,9961.39,
103,S,10/16/16,89727.8,467486.5,3.8,94,81051.8,442943.9,424.72,103,5.210051957,5.277732227,5.133616163,1,81728.21,7999.59,
104,S,10/23/16,88791.4,458599.4,3.8,95,75298.6,411532.4,0.35,104,5.164907863,5.277732227,5.133616163,1,81728.21,7063.19,
105,S,10/30/16,85125.6,434431.7,3.8,94,70736.5,385483.5,0,105,5.103420123,5.277732227,5.133616163,1,81728.21,3397.39,
